idfile,id,block,trial,relCue,irrelCue,validity,targetLoc,relCueCol,gammaBlock,RT,correct,I,guessCue,Switch,Lamda,Gamma,pMUi,pMuNitI,pe,logRTmod,logRTexp
01_trials_model.mod,1,1,1,2,2,1,2,1,0.875,405.57,1,1,2,1,0,0.51,NA,NA,0.39141,-0.93801,6.0053
01_trials_model.mod,1,1,2,2,2,1,2,1,0.875,291.58,1,2,2,2,0,0.51,NA,NA,0.39141,-0.93801,5.6753
01_trials_model.mod,1,1,3,2,2,1,2,1,0.875,307.42,1,3,2,3,0,0.51,NA,NA,0.39141,-0.93801,5.7282
01_trials_model.mod,1,1,4,1,2,1,1,1,0.875,255.44,1,4,2,4,0,0.51,NA,NA,0.39141,-0.93801,5.543
01_trials_model.mod,1,1,5,1,1,1,1,1,0.875,312.35,1,5,2,5,0,0.51,NA,NA,0.39141,-0.93801,5.7441
01_trials_model.mod,1,1,6,2,2,1,2,1,0.875,272.99,1,6,2,6,0,0.51,NA,NA,0.39141,-0.93801,5.6094
01_trials_model.mod,1,1,7,2,1,0,1,1,0.875,369.86,1,1,1,7,0.7,0.51,NA,NA,0.39141,-0.93801,5.9131
01_trials_model.mod,1,1,8,2,2,1,2,1,0.875,304.78,1,2,1,8,0.76123,0.755,0.51234,0.1607,0.30589,-1.1845,5.7196
01_trials_model.mod,1,1,9,2,2,1,2,1,0.875,314.99,1,3,1,9,0.82144,0.83667,0.61351,0.13336,0.22345,-1.4986,5.7525
01_trials_model.mod,1,1,10,2,2,1,2,1,0.875,194.6,1,4,1,10,0.86642,0.8775,0.69064,0.10648,0.17293,-1.7549,5.2709
01_trials_model.mod,1,1,11,2,2,1,2,1,0.875,304.05,1,5,1,11,0.89623,0.902,0.74615,0.086392,0.13971,-1.9682,5.7172
01_trials_model.mod,1,1,12,2,2,1,2,1,0.875,321.27,1,6,1,12,0.91474,0.91833,0.78411,0.073082,0.11733,-2.1427,5.7723
01_trials_model.mod,1,1,13,1,1,1,1,1,0.875,282.98,1,7,1,13,0.92586,0.93,0.80944,0.064818,0.10188,-2.284,5.6454
01_trials_model.mod,1,1,14,2,1,0,1,1,0.875,370.7,1,8,1,14,0.73257,0.81375,0.16395,0.059853,0.72984,-0.31493,5.9154
01_trials_model.mod,1,1,15,1,2,1,1,1,0.875,255.6,1,9,1,15,0.8016,0.83444,0.59052,0.14616,0.23191,-1.4614,5.5436
01_trials_model.mod,1,1,16,1,1,0,2,1,0.875,359.68,1,10,1,16,0.62419,0.751,0.19156,0.11534,0.65667,-0.42057,5.8852
01_trials_model.mod,1,1,17,2,1,1,2,1,0.875,313.74,1,11,1,17,0.70839,0.77364,0.47262,0.19455,0.30616,-1.1837,5.7486
01_trials_model.mod,1,1,18,1,1,0,2,1,0.875,353.49,1,12,1,18,0.55973,0.70917,0.19954,0.15695,0.61708,-0.48276,5.8679
01_trials_model.mod,1,1,19,1,1,1,1,1,0.875,329.74,1,13,1,19,0.64445,0.73154,0.40479,0.22333,0.35079,-1.0476,5.7983
01_trials_model.mod,1,1,20,2,2,1,2,1,0.875,291.99,1,14,1,20,0.71795,0.75071,0.47219,0.1855,0.32,-1.1394,5.6767
01_trials_model.mod,1,1,21,1,2,1,1,1,0.875,263.87,1,15,1,21,0.77733,0.76733,0.53301,0.15269,0.29219,-1.2303,5.5755
01_trials_model.mod,1,1,22,1,2,1,1,1,0.875,281.02,1,16,1,22,0.82248,0.78188,0.58457,0.12617,0.26816,-1.3162,5.6384
01_trials_model.mod,1,1,23,1,1,0,2,1,0.875,269.07,1,17,1,23,0.66252,0.73588,0.20812,0.10601,0.65628,-0.42117,5.595
01_trials_model.mod,1,1,24,1,2,1,1,1,0.875,280.89,1,18,1,24,0.73183,0.75056,0.48421,0.17744,0.31664,-1.15,5.638
01_trials_model.mod,1,1,25,1,2,1,1,1,0.875,310.65,1,19,1,25,0.78659,0.76368,0.53994,0.14649,0.29259,-1.229,5.7387
01_trials_model.mod,1,1,26,2,2,1,2,1,0.875,287.48,1,20,1,26,0.82769,0.7755,0.58622,0.12204,0.27197,-1.3021,5.6612
01_trials_model.mod,1,1,27,1,2,1,1,1,0.875,255.31,1,21,1,27,0.85735,0.78619,0.62316,0.10368,0.25463,-1.3679,5.5425
01_trials_model.mod,1,1,28,1,1,1,1,1,0.875,291.52,1,22,1,28,0.87817,0.79591,0.65194,0.090443,0.24014,-1.4265,5.6751
01_trials_model.mod,1,1,29,1,2,1,1,1,0.875,276.68,1,23,1,29,0.89257,0.80478,0.67417,0.081146,0.22796,-1.4786,5.6229
01_trials_model.mod,1,1,30,1,1,1,1,1,0.875,342.96,1,24,1,30,0.90248,0.81292,0.69144,0.074718,0.2176,-1.5251,5.8376
